0,1
75,2084
62,270
51,721
58,28
50,2082
43,1695
49,75
54,925
53,1724
52,1756
53,470
57,462
51,908
60,823
53,15
51,693
55,38
53,207
56,58
94,23
61,174
53,586
46,1310
54,60
50,1352
71,1070
57,752
61,1270
60,678
50,527
42,730
56,716
53,399
54,695
59,1110
56,1866
94,353
48,1816
59,162
54,252
74,955
43,57
44,191
48,1725
55,887
53,820
49,857
66,516
57,614
55,585
49,586
53,264
52,1516
68,974
54,1021
39,1652
45,1849
53,1098
59,1049
62,127
53,709
54,1526
54,982
59,1381
43,1239
58,1829
62,877
52,482
89,76
59,1117
63,1997
53,582
55,425
82,75
91,2160
47,204
53,296
60,143
53,902
52,266
47,644
52,469
62,555
49,244
54,462
48,175
52,328
47,2160
49,183
53,725
58,564
90,136
61,305
67,754
51,1041
94,123
59,244
82,98
50,395
47,1816
49,316
40,325
51,500
60,490
49,414
55,640
49,1321
50,1563
52,322
91,270
59,1148
53,570
52,1850
55,273
48,686
54,464
53,698
48,1027
86,169
61,1307
49,287
54,722
58,627
55,771
82,126
50,1831
54,275
68,387
55,1567
54,222
52,880
61,490
92,135
58,1313
54,676
56,744
54,676
92,292
52,335
57,840
53,868
67,416
54,1139
60,353
52,1588
60,1549
82,150
54,655
37,188
46,1541
57,247
54,637
53,585
49,621
70,416
94,532
63,1326
39,184
55,711
82,161
52,230
57,355
68,770
51,527
45,267
90,865
62,887
49,1538
44,595
64,192
47,1816
84,279
50,839
57,327
52,660
54,2030
50,224
49,247
50,756
43,289
46,726
54,623
81,252
50,892
50,191
43,1233
36,885
56,1494
40,925
42,546
52,410
47,255
58,1676
82,263
39,465
54,469
54,393
61,812
49,415
54,223
51,1039
64,954
58,521
82,346
53,311
54,968
57,505
53,2214
51,468
51,1123
93,360
53,1215
56,730
48,626
49,956
52,911
54,680
27,282
56,1990
60,1496
70,490
88,328
54,559
53,1823
53,868
63,1225
48,277
42,1433
52,1527
90,336
55,284
52,365
51,247
44,250
57,804
57,564
48,261
66,490
51,1660
53,448
45,282
56,742
46,282
51,1116
62,730
65,516
89,915
54,275
62,1310
89,790
47,1616
53,389
48,407
52,729
57,334
52,546
55,1039
54,368
53,801
92,529
59,669
51,460
66,857
53,734
56,1048
91,459
57,1074
50,642
56,1492
51,319
63,335
82,275
89,2273
37,1093
49,2061
52,1029
48,327
51,774
55,1219
50,1694
43,1899
63,1030
48,671
60,608
48,330
88,710
51,602
55,1768
91,429
44,1073
38,1164
57,345
51,575
53,558
56,946
56,345
55,381
55,330
54,545
52,1646
52,1244
44,569
89,455
51,1220
54,1588
56,679
91,688
51,319
82,311
91,933
51,531
49,395
39,653
69,387
51,319
52,441
53,464
85,358
48,1607
56,1045
52,1116
51,1923
58,674
54,503
49,1423
47,363
55,755
69,1721
57,510
49,1986
45,557
50,1317
52,1237
51,621
65,680
50,389
62,1714
54,360
93,690
92,632
94,819
49,2283
53,1034
35,1073
46,2206
69,657
47,1290
52,453
56,1668
47,1570
53,1242
54,409
58,1419
61,729
86,519
52,460
93,381
56,360
60,1127
49,1133
62,684
58,1297
51,678
88,515
53,462
55,878
48,1226
61,1896
52,926
58,839
56,847
52,1031
44,424
55,831
70,1172
51,790
54,676
50,515
53,839
89,1450
50,663
60,491
51,485
89,516
42,1236
59,1030
52,557
71,490
48,473
62,1277
59,513
69,1927
60,575
53,574
82,395
51,473
93,621
52,845
54,1098
51,682
59,555
50,1843
64,1055
94,709
48,1937
58,1548
42,1073
57,752
94,416
57,1791
51,1196
51,833
94,414
75,1279
57,1410
51,753
71,490
88,695
64,1619
94,734
59,945
57,1531
90,722
59,988
39,701
60,1546
47,522
50,840
93,441
55,1412
82,432
94,579
45,528
52,741
82,435
50,1718
56,587
64,1055
60,614
55,1029
55,1779
62,680
93,445
94,444
83,445
60,469
93,524
56,1540
65,676
92,788
56,1098
93,468
57,1374
57,2002
52,545
53,469
49,665
55,1172
89,1485
59,2060
64,473
92,474
58,529
51,478
66,1022
94,658
57,492
60,660
52,1137
61,485
63,1103
82,473
93,1111
47,985
63,1736
87,654
54,678
59,627
79,1216
56,667
60,1548
89,1409
62,513
56,587
93,663
57,1190
49,2111
63,669
61,668
48,1804
65,1919
60,1758
53,926
66,746
50,509
55,1133
59,895
65,587
63,839
55,2042
56,529
54,892
90,1709
56,1985
46,737
60,1076
55,742
73,1517
70,1497
47,1484
61,680
56,587
62,720
54,756
59,2143
54,527
61,1225
94,627
54,1104
55,1112
47,637
51,1711
55,1192
54,1898
58,1111
91,568
57,1242
55,1383
50,774
67,1203
94,718
59,1188
48,1083
90,727
46,1305
55,1738
94,716
79,814
94,720
51,2151
64,1418
93,708
49,704
49,774
63,1202
74,896
48,1877
93,705
62,1357
55,803
93,1498
54,1477
52,1602
91,832
55,1205
60,564
94,761
64,711
66,637
54,678
67,1106
94,746
54,1531
40,731
61,1110
35,1493
55,935
58,1851
63,1933
89,775
56,1476
42,589
51,1437
58,1039
58,1762
66,1310
94,771
56,703
89,1666
57,1098
60,1437
92,780
60,719
54,1177
93,783
62,1657
58,1152
82,1162
51,1232
89,1060
89,1176
89,1224
93,1368
91,1639
90,1788
93,1839
93,2004
92,2090
94,2249
90,2266
91,2318
94,803
56,1786
53,1788
57,1365
55,635
37,1432
89,1565
62,630
56,2201
91,731
56,1068
54,713
94,614
62,2090
55,1851
47,924
64,2095
58,711
52,867
60,1377
59,1497
91,670
61,1664
93,676
53,1738
52,711
63,873
60,945
94,653
63,1017
59,1609
60,668
50,1235
48,887
61,1055
50,1271
68,719
58,1806
68,1815
52,764
65,2016
55,1250
51,1263
51,1056
59,669
52,676
54,1242
52,816
93,1611
93,1659
93,1013
53,2192
50,1534
57,1496
57,812
92,853
65,1497
59,932
93,665
61,699
54,719
54,1479
62,1049
92,857
60,1264
90,859
55,945
69,945
58,1082
67,929
42,1827
89,957
74,1779
56,878
57,901
67,734
94,1088
59,701
55,1585
60,1103
93,871
51,2001
57,1949
54,844
55,812
54,1646
92,935
52,709
90,887
50,1322
54,1411
61,1508
56,1704
72,1463
54,760
42,1432
94,742
66,1110
56,883
51,1023
58,1190
38,1934
62,1301
71,977
60,922
59,949
60,1686
59,1154
65,1098
51,1714
62,843
55,1067
52,812
54,734
92,1898
60,1162
58,1094
58,848
63,1779
54,1022
54,801
54,1829
94,1291
53,812
54,1240
81,872
59,796
53,2097
57,912
62,1176
52,1638
52,791
56,775
53,1112
59,1112
93,1047
49,880
53,1509
72,814
90,930
56,908
54,860
52,983
91,1725
59,1725
63,1282
59,1220
92,899
51,780
60,1110
49,1879
62,1482
53,1236
94,1350
57,1499
55,981
51,1463
54,1145
89,830
58,1232
48,1814
92,959
53,786
60,1049
90,1715
50,1567
59,1528
89,1373
48,933
58,1907
60,1476
48,1910
91,1106
56,843
56,1403
50,1292
59,923
52,843
89,1061
64,1162
64,974
59,1162
41,1613
51,1603
55,1188
56,1112
52,832
62,1716
89,805
58,862
56,2231
56,839
53,1236
60,971
94,849
60,1350
56,2175
49,1437
54,848
53,2023
58,1251
54,1669
54,1424
60,1049
46,1408
93,1949
55,2031
61,1098
46,906
50,1233
60,1812
57,1562
89,1072
82,1024
50,1831
58,2189
92,1056
52,1562
52,1326
58,1524
94,1302
54,1065
63,1190
89,1379
54,2002
55,1205
57,1039
90,1065
50,956
49,1478
59,923
60,946
59,1161
49,1004
56,1107
89,882
53,1169
41,868
63,1110
67,1316
60,1112
94,1143
65,924
52,981
56,1424
56,1074
53,946
54,850
57,1738
55,1263
55,1907
43,1401
62,948
56,1443
89,1951
55,1270
57,2271
48,1812
54,1183
60,1272
55,929
54,1174
94,1597
58,1070
38,1040
54,1277
88,1237
62,1236
50,1235
69,977
57,1159
53,1988
60,1067
58,1322
59,1094
51,1236
63,1162
62,2023
51,1156
49,1338
57,1212
49,948
66,974
63,1242
94,1070
52,1938
61,1592
52,908
74,2000
87,2107
48,2143
57,1248
48,1932
56,1547
53,1656
73,1170
58,1325
55,1654
53,2088
45,1864
65,1055
91,1731
55,1022
55,1829
48,1848
60,1850
50,1071
53,1133
51,2245
58,1990
57,1779
67,1203
55,1030
52,967
55,1270
49,925
55,1196
50,1116
55,1887
90,1727
61,1568
64,1911
62,1737
58,991
53,1980
58,1399
48,2039
52,1743
